Ticker,Name,Exchange,Category Name,Country,Name [Ticker]
KIRLOSENG.NS,Kirloskar Oil Engines Limited,NSE,Diversified Machinery,India,Kirloskar Oil Engines Limited [KIRLOSENG.NS]
KBIL.NS,Kirloskar Brothers Investments Ltd.,NSE,,India,Kirloskar Brothers Investments Ltd. [KBIL.NS]
KGL.NS,Karuturi Global Limited,NSE,Farm Products,India,Karuturi Global Limited [KGL.NS]
KESARENT.NS,Kesar Enterprises Limited,NSE,,India,Kesar Enterprises Limited [KESARENT.NS]
KEC.NS,KEC International Limited,NSE,Diversified Utilities,India,KEC International Limited [KEC.NS]
KCPSUGIND.NS,K.C.P. Sugar and Industries Corporation Limited,NSE,Confectioners,India,K.C.P. Sugar and Industries Corporation Limited [KCPSUGIND.NS]
EKC.NS,Everest Kanto Cylinder Limited,NSE,Diversified Machinery,India,Everest Kanto Cylinder Limited [EKC.NS]
KSL.NS,Kalyani Steels Limited,NSE,Steel & Iron,India,Kalyani Steels Limited [KSL.NS]
KANSAINER.NS,Kansai Nerolac Paints Limited,NSE,Specialty Chemicals,India,Kansai Nerolac Paints Limited [KANSAINER.NS]
SKUMARSYN.NS,S. Kumars Nationwide Ltd.,NSE,,India,S. Kumars Nationwide Ltd. [SKUMARSYN.NS]
KICL-EQ.NS,KALYANI INVESTMENT COMPANY LIMI,NSE,,India,KALYANI INVESTMENT COMPANY LIMI [KICL-EQ.NS]
MRF.NS,MRF Limited,NSE,Rubber & Plastics,India,MRF Limited [MRF.NS]
TATASTEEL.NS,Tata Steel Limited,NSE,Steel & Iron,India,Tata Steel Limited [TATASTEEL.NS]
RELIANCE.NS,Reliance Industries Limited,NSE,Oil & Gas Refining & Marketing,India,Reliance Industries Limited [RELIANCE.NS]
NOCIL.NS,NOCIL Limited,NSE,Chemicals - Major Diversified,India,NOCIL Limited [NOCIL.NS]
ICIL.NS,Indo Count Industries Limited,NSE,Textile Industrial,India,Indo Count Industries Limited [ICIL.NS]
TCS.NS,Tata Consultancy Services Limited,NSE,Information Technology Services,India,Tata Consultancy Services Limited [TCS.NS]
SURANAIND.NS,Surana Industries Limited,NSE,Steel & Iron,India,Surana Industries Limited [SURANAIND.NS]
SASKEN.NS,Sasken Technologies Limited,NSE,Technical & System Software,India,Sasken Technologies Limited [SASKEN.NS]
RELINFRA.NS,Reliance Infrastructure Limited,NSE,Electric Utilities,India,Reliance Infrastructure Limited [RELINFRA.NS]
PRAJIND.NS,Praj Industries Limited,NSE,General Contractors,India,Praj Industries Limited [PRAJIND.NS]
NICCO.NS,Nicco Corporation Limited,NSE,Diversified Machinery,India,Nicco Corporation Limited [NICCO.NS]
MARUTI.NS,Maruti Suzuki India Limited,NSE,Auto Manufacturers - Major,India,Maruti Suzuki India Limited [MARUTI.NS]
LUPIN.NS,Lupin Limited,NSE,Drugs - Generic,India,Lupin Limited [LUPIN.NS]
CAIRN.NS,Cairn India Limited,NSE,Major Integrated Oil & Gas,India,Cairn India Limited [CAIRN.NS]
ZENITHBIR.NS,Zenith Birla (India) Limited,NSE,Metal Fabrication,India,Zenith Birla (India) Limited [ZENITHBIR.NS]
YESBANK.NS,Yes Bank Limited,NSE,Money Center Banks,India,Yes Bank Limited [YESBANK.NS]
XPROINDIA.NS,Xpro India Limited,NSE,Specialty Chemicals,India,Xpro India Limited [XPROINDIA.NS]
VOLTAS.NS,Voltas Limited,NSE,General Contractors,India,Voltas Limited [VOLTAS.NS]
VISAKAIND.NS,Visaka Industries Limited,NSE,General Building Materials,India,Visaka Industries Limited [VISAKAIND.NS]
USHERAGRO.NS,Usher Agro Limited,NSE,Farm Products,India,Usher Agro Limited [USHERAGRO.NS]
UFO.NS,UFO Moviez India Limited,NSE,Entertainment - Diversified,India,UFO Moviez India Limited [UFO.NS]
UFLEX.NS,Uflex Limited,NSE,Packaging & Containers,India,Uflex Limited [UFLEX.NS]
TV18BRDCST.NS,TV18 Broadcast Limited,NSE,Broadcasting - TV,India,TV18 Broadcast Limited [TV18BRDCST.NS]
TRIGYN.NS,Trigyn Technologies Limited,NSE,Technical & System Software,India,Trigyn Technologies Limited [TRIGYN.NS]
TRENT.NS,Trent Limited,NSE,Apparel Stores,India,Trent Limited [TRENT.NS]
